Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
3361MV,"Motor vehicles, bodies and trailers, and parts",carbon dioxide,"kg/2018 USD, purchaser price",0.178,0.018,0.196,,3,2,1,3,1
3361MV,"Motor vehicles, bodies and trailers, and parts",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
3361MV,"Motor vehicles, bodies and trailers, and parts",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
3361MV,"Motor vehicles, bodies and trailers, and parts",other GHGs,"kg CO2e/2018 USD, purchaser price",0.019,0,0.019,,4,2,1,4,1
3364OT,Other transportation equipment,carbon dioxide,"kg/2018 USD, purchaser price",0.088,0.012,0.1,,3,2,1,3,1
3364OT,Other transportation equipment,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
3364OT,Other transportation equipment,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
3364OT,Other transportation equipment,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,2,1,3,1
337,Furniture and related products,carbon dioxide,"kg/2018 USD, purchaser price",0.173,0.044,0.217,,3,2,1,3,1
337,Furniture and related products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
337,Furniture and related products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
337,Furniture and related products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.021,0,0.021,,4,2,1,5,1
339,Miscellaneous manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.157,0.019,0.176,,3,2,1,3,1
339,Miscellaneous manufacturing,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
339,Miscellaneous manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
339,Miscellaneous manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,4,2,1,4,1
42,Wholesale trade,carbon dioxide,"kg/2018 USD, purchaser price",0.103,0,0.103,,3,2,1,3,1
42,Wholesale trade,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
42,Wholesale trade,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
42,Wholesale trade,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,4,2,1,4,1
441,Motor vehicle and parts dealers,carbon dioxide,"kg/2018 USD, purchaser price",0.119,0,0.119,,3,2,1,3,1
441,Motor vehicle and parts dealers,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
441,Motor vehicle and parts dealers,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
441,Motor vehicle and parts dealers,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,4,1
445,Food and beverage stores,carbon dioxide,"kg/2018 USD, purchaser price",0.197,0,0.197,,3,2,1,3,1
445,Food and beverage stores,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
445,Food and beverage stores,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
445,Food and beverage stores,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,4,1
452,General merchandise stores,carbon dioxide,"kg/2018 USD, purchaser price",0.142,0,0.142,,3,2,1,3,1
452,General merchandise stores,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
452,General merchandise stores,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
452,General merchandise stores,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,4,1
481,Air transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.872,0,0.872,,4,2,1,1,1
481,Air transportation,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,1,1
481,Air transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
481,Air transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,4,1
482,Rail transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.692,0,0.692,,4,2,1,4,1
482,Rail transportation,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
482,Rail transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
482,Rail transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,4,1
483,Water transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.642,0,0.642,,4,2,1,2,1
483,Water transportation,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,2,1
483,Water transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
483,Water transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.06,0,0.06,,4,2,1,5,1
484,Truck transportation,carbon dioxide,"kg/2018 USD, purchaser price",1.331,0,1.331,,4,2,1,4,1
484,Truck transportation,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,1,1
484,Truck transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
484,Truck transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.021,0,0.021,,4,2,1,5,1
485,Transit and ground passenger transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.123,0,0.123,,3,2,1,3,1
485,Transit and ground passenger transportation,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
485,Transit and ground passenger transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
485,Transit and ground passenger transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.007,0,0.007,,4,2,1,5,1
486,Pipeline transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.968,0,0.968,,4,2,1,1,1
486,Pipeline transportation,methane,"kg/2018 USD, purchaser price",0.03,0,0.03,,4,2,1,1,1
486,Pipeline transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
486,Pipeline transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0,0.011,,4,2,1,5,1
487OS,Other transportation and support activities,carbon dioxide,"kg/2018 USD, purchaser price",0.311,0,0.311,,4,2,1,3,1
487OS,Other transportation and support activities,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,2,1
487OS,Other transportation and support activities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
487OS,Other transportation and support activities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,4,1
493,Warehousing and storage,carbon dioxide,"kg/2018 USD, purchaser price",0.398,0,0.398,,2,2,1,2,1
493,Warehousing and storage,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
493,Warehousing and storage,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,2,1
493,Warehousing and storage,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,3,2,1,4,1
4A0,Other retail,carbon dioxide,"kg/2018 USD, purchaser price",0.148,0,0.148,,3,2,1,3,1
4A0,Other retail,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
4A0,Other retail,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
4A0,Other retail,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,4,2,1,4,1
511,"Publishing industries, except internet (includes software)",carbon dioxide,"kg/2018 USD, purchaser price",0.049,0.006,0.055,,3,2,1,3,1
511,"Publishing industries, except internet (includes software)",methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
511,"Publishing industries, except internet (includes software)",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
511,"Publishing industries, except internet (includes software)",other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,4,1
512,Motion picture and sound recording industries,carbon dioxide,"kg/2018 USD, purchaser price",0.052,0.002,0.054,,3,2,1,3,1
512,Motion picture and sound recording industries,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
512,Motion picture and sound recording industries,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
512,Motion picture and sound recording industries,other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,4,1
513,Broadcasting and telecommunications,carbon dioxide,"kg/2018 USD, purchaser price",0.078,0,0.078,,3,2,1,3,1
513,Broadcasting and telecommunications,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
513,Broadcasting and telecommunications,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
513,Broadcasting and telecommunications,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0,0.006,,4,2,1,5,1
514,"Data processing, internet publishing, and other information services",carbon dioxide,"kg/2018 USD, purchaser price",0.083,0,0.083,,3,2,1,3,1
514,"Data processing, internet publishing, and other information services",methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
514,"Data processing, internet publishing, and other information services",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
514,"Data processing, internet publishing, and other information services",other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,4,1
521CI,"Federal Reserve banks, credit intermediation, and related activities",carbon dioxide,"kg/2018 USD, purchaser price",0.067,0,0.067,,3,2,1,3,1
521CI,"Federal Reserve banks, credit intermediation, and related activities",methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
521CI,"Federal Reserve banks, credit intermediation, and related activities",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
521CI,"Federal Reserve banks, credit intermediation, and related activities",other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,4,1
523,"Securities, commodity contracts, and investments",carbon dioxide,"kg/2018 USD, purchaser price",0.103,0,0.103,,3,2,1,3,1
523,"Securities, commodity contracts, and investments",methane,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,1,1
523,"Securities, commodity contracts, and investments",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
523,"Securities, commodity contracts, and investments",other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,4,1
524,Insurance carriers and related activities,carbon dioxide,"kg/2018 USD, purchaser price",0.04,0,0.04,,3,2,1,3,1
524,Insurance carriers and related activities,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
524,Insurance carriers and related activities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
524,Insurance carriers and related activities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,4,1
525,"Funds, trusts, and other financial vehicles",carbon dioxide,"kg/2018 USD, purchaser price",0.177,0,0.177,,3,2,1,3,1
525,"Funds, trusts, and other financial vehicles",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
